"","plot_id","loc_name","long_in_degrees","lat_in_degrees","start_date","end_date","duration_in_days","duration_in_years","measurement_freq_in_mins","depth_in_m","temp_degC_percentage_missing_values","no_of_data","net_no_of_data","climate_classification","time_id","q_diurnal_a_mean","q_diurnal_gm_mean","q_diurnal_median","q_diurnal_ninetieth_perc","s_diurnal_a_mean","s_diurnal_gm_mean","s_diurnal_median","s_diurnal_ninetieth_perc","daily_a_mean","daily_gm_mean","daily_median","daily_ninetieth_perc","weekly_a_mean","weekly_gm_mean","weekly_median","weekly_ninetieth_perc","biweekly_a_mean","biweekly_gm_mean","biweekly_median","biweekly_ninetieth_perc","monthly_a_mean","monthly_gm_mean","monthly_median","monthly_ninetieth_perc"
"21","2.1","Belize, Stann Creek, Carrie Bow Cay",-88.079817,16.8009,"2000-03-04 21:30:00","2012-09-24 23:00:00",4587,12.567,10,2,53.1400161686383,660538,309528,"Tropical","2.1 - year_4",4.23931952912844e-08,3.34619317972167e-08,3.3604768e-08,8.00947755e-08,7.05547701972477e-08,6.2951009361992e-08,6.2736616e-08,1.098390667e-07,8.72446090825688e-08,7.85148661447031e-08,8.2045251e-08,1.273995916e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2.1","Belize, Stann Creek, Carrie Bow Cay",-88.079817,16.8009,"2000-03-04 21:30:00","2012-09-24 23:00:00",4587,12.567,10,2,53.1400161686383,660538,309528,"Tropical","2.1 - year_5",3.87371268041237e-08,3.19310874501271e-08,3.20867005e-08,7.06475001e-08,6.4060547652921e-08,5.70597570409305e-08,5.754397e-08,1.0316513e-07,7.77946758e-08,7.12383771542458e-08,7.0221446e-08,1.210381964e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2.1","Belize, Stann Creek, Carrie Bow Cay",-88.079817,16.8009,"2000-03-04 21:30:00","2012-09-24 23:00:00",4587,12.567,10,2,53.1400161686383,660538,309528,"Tropical","2.1 - year_6",5.87706398989899e-08,5.18931445495203e-08,5.3771933e-08,9.85108765e-08,7.30521547537689e-08,6.70149643096383e-08,6.834093e-08,1.214322628e-07,9.158107295e-08,8.58058018982174e-08,8.5660281e-08,1.396016576e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2.1","Belize, Stann Creek, Carrie Bow Cay",-88.079817,16.8009,"2000-03-04 21:30:00","2012-09-24 23:00:00",4587,12.567,10,2,53.1400161686383,660538,309528,"Tropical","2.1 - year_7",3.39057420808219e-08,2.36154841538346e-08,2.4458976e-08,6.22762168000001e-08,5.43740868328767e-08,4.00776456819884e-08,4.549757e-08,9.99791902e-08,6.9764672467033e-08,5.3258653704786e-08,5.7358307e-08,1.15131356e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2.1","Belize, Stann Creek, Carrie Bow Cay",-88.079817,16.8009,"2000-03-04 21:30:00","2012-09-24 23:00:00",4587,12.567,10,2,53.1400161686383,660538,309528,"Tropical","2.1 - year_8",2.19908229768421e-08,1.73861306465561e-08,1.6690518e-08,4.14221944e-08,3.03679293797468e-08,2.5553728241087e-08,2.5476516e-08,5.88036876e-08,4.06192912857143e-08,3.5247801539037e-08,3.3140368e-08,6.68075006e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2.2","Belize, Stann Creek, Carrie Bow Cay",-88.079817,16.8009,"2001-03-17 22:30:00","2012-06-07 23:00:00",4100,11.233,10,5,38.8000420051355,590404,361327,"Tropical","2.2 - (a) - year_1",1.74559221799308e-08,1.89225324334717e-08,1.3924518e-08,3.6377135e-08,2.98187383642659e-08,2.68810186693817e-08,2.7300437e-08,5.17027737e-08,3.83206074930748e-08,3.38053920498262e-08,3.541298e-08,6.1917175e-08,8.20653809038461e-08,7.74569771733192e-08,7.5898606e-08,1.168536379e-07,1.09494389038462e-07,1.05700524599873e-07,1.013278525e-07,1.60902326e-07,1.41888775833333e-07,1.36483800618815e-07,1.35266921e-07,1.856344663e-07
"27","2.2","Belize, Stann Creek, Carrie Bow Cay",-88.079817,16.8009,"2001-03-17 22:30:00","2012-06-07 23:00:00",4100,11.233,10,5,38.8000420051355,590404,361327,"Tropical","2.2 - (a) - year_11",3.3830533828201e-08,2.88502253450219e-08,2.9165711e-08,5.66508726e-08,4.44931940097087e-08,3.96524648483788e-08,4.032153e-08,7.3014171e-08,5.73433731948052e-08,5.16311786528489e-08,4.92411895e-08,9.01451653e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2.2","Belize, Stann Creek, Carrie Bow Cay",-88.079817,16.8009,"2001-03-17 22:30:00","2012-06-07 23:00:00",4100,11.233,10,5,38.8000420051355,590404,361327,"Tropical","2.2 - (a) - year_12",3.82187092690058e-08,3.389806147574e-08,3.5186299e-08,6.2421235e-08,4.88550205411765e-08,4.45426449502319e-08,4.4030369e-08,7.5275669e-08,5.99957994186047e-08,5.62181312959774e-08,5.4634435e-08,8.64223618e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2.2","Belize, Stann Creek, Carrie Bow Cay",-88.079817,16.8009,"2001-03-17 22:30:00","2012-06-07 23:00:00",4100,11.233,10,5,38.8000420051355,590404,361327,"Tropical","2.2 - (a) - year_2",1.99208962790531e-08,1.77982207375271e-08,1.5153897e-08,3.59207473e-08,3.34643078938307e-08,2.92351935009501e-08,2.9706576e-08,5.5176692e-08,4.38069736195965e-08,3.86041291723275e-08,4.0849365e-08,7.07589752000001e-08,8.58956887021277e-08,7.92830928290574e-08,7.5381239e-08,1.32487049e-07,1.13539878291667e-07,1.06394338817494e-07,1.0165412e-07,1.595022555e-07,1.47125844545455e-07,1.36742207317512e-07,1.36615414e-07,1.9462808e-07
"30","2.2","Belize, Stann Creek, Carrie Bow Cay",-88.079817,16.8009,"2001-03-17 22:30:00","2012-06-07 23:00:00",4100,11.233,10,5,38.8000420051355,590404,361327,"Tropical","2.2 - (a) - year_3",2.46539849787234e-08,1.95329004763049e-08,1.9623625e-08,4.3475561e-08,3.9600859326572e-08,3.4857330182178e-08,3.4979623e-08,6.21368528e-08,5.09885138097166e-08,4.62852558811616e-08,4.6442585e-08,7.59414246e-08,8.9722665e-08,8.39624662761862e-08,8.54428215e-08,1.328752125e-07,1.09963663777778e-07,1.03392826794741e-07,1.14232936e-07,1.610509928e-07,1.539375828e-07,1.44730597989338e-07,1.49690667e-07,2.114349162e-07
